Unnamed: 0,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,energy_dance,happy_dance,energy_loudness,acoustic_energy,dance_tempo,happiness_score,dancefloor_potential,chill_factor,energy_level,dance_category,tempo_category,mood,speech_to_music_ratio,energy_acoustic_ratio
0,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4.0,0.286,1,Mask Off,Future,0.36152199999999995,0.23823799999999998,-3.81703,0.004426800000000001,125.00164600000001,0.5544,0.621011057198843,0.2783531361187354,Medium,Very_Danceable,Very_Fast,Sad,18.820960698689955,38.74999999999999
1,0.199,0.743,326933,0.359,0.00611,1,0.137,-10.401,1,0.0794,160.083,4.0,0.588,1,Redbone,Childish Gambino,0.266737,0.436884,-3.7339589999999996,0.071441,118.941669,0.566,0.5854913999564554,0.38261258513774526,Medium,Very_Danceable,Very_Fast,Neutral,11.167369901547117,1.795
2,0.0344,0.838,185707,0.412,0.000234,2,0.159,-7.148,1,0.289,75.044,4.0,0.173,1,Xanny Family,Future,0.34525599999999995,0.144974,-2.9449759999999996,0.0141728,62.886872,0.48829999999999996,0.46951300115081956,0.27701022669513065,Medium,Very_Danceable,Slow,Sad,234.19773095623984,11.638418079096045
3,0.604,0.494,199413,0.338,0.51,5,0.0922,-15.236,1,0.0261,86.468,4.0,0.23,1,Master Of None,Beach House,0.166972,0.11362,-5.149768000000001,0.204152,42.715192,0.06,0.3523873751982831,0.5737637491105012,Medium,Moderate,Slow,Sad,0.05107632093933464,0.5586776859504132
4,0.18,0.678,392893,0.561,0.512,5,0.439,-11.648,0,0.0694,174.004,4.0,0.904,1,Parallel Lines,Junior Boys,0.3803580000000001,0.612912,-6.534528000000001,0.10098,117.974712,0.7010000000000001,0.6582198220895151,0.3216225475246518,Medium,Moderate,Very_Fast,Happy,0.13528265107212475,3.099447513812155
5,0.00479,0.804,251333,0.56,0.0,8,0.164,-6.682,1,0.185,85.023,4.0,0.264,1,Sneakin’,Drake,0.4502400000000001,0.21225600000000003,-3.7419200000000004,0.0026824,68.358492,0.531605,0.5269116979254145,0.21306967673071062,Medium,Very_Danceable,Slow,Sad,185.0,96.71848013816927
6,0.0145,0.739,241400,0.472,7.27e-06,1,0.207,-11.204,1,0.156,80.03,4.0,0.308,1,Childs Play,Drake,0.34880799999999995,0.22761199999999998,-5.288288,0.006844,59.14217,0.51625,0.4662055457061988,0.29160897631391686,Medium,Very_Danceable,Slow,Sad,154.87406554349877,30.451612903225804
7,0.0202,0.266,349667,0.348,0.664,10,0.16,-11.609,0,0.0371,144.154,4.0,0.393,1,Gyöngyhajú lány,Omega,0.092568,0.104538,-4.039931999999999,0.0070295999999999996,38.344964000000004,0.3194,0.3918595222543622,0.3389594185219071,Medium,Not_Danceable,Very_Fast,Neutral,0.05578947368421053,16.41509433962264
8,0.0481,0.603,202853,0.944,0.0,11,0.342,-3.626,0,0.347,130.035,4.0,0.398,1,I've Seen Footage,Death Grips,0.569232,0.239994,-3.4229439999999998,0.04540639999999999,78.41110499999999,0.47644999999999993,0.6754128642966003,0.0684399613703365,High,Moderate,Fast,Neutral,346.99999999999994,19.226069246435845
9,0.00208,0.836,226840,0.603,0.0,7,0.571,-7.792,1,0.237,99.994,4.0,0.386,1,Digital Animal,Honey Claws,0.504108,0.322696,-4.698576,0.0012542399999999998,83.594984,0.60996,0.5810146029672484,0.20911693809088136,Medium,Very_Danceable,Medium,Neutral,236.99999999999997,195.7792207792208
10,0.0572,0.525,358187,0.855,0.0143,5,0.649,-7.372,0,0.0548,111.951,3.0,0.524,1,Subways - In Flagranti Extended Edit,The Avalanches,0.448875,0.2751,-6.303059999999999,0.048906,58.774274999999996,0.49589999999999995,0.5845917700849118,0.1392206770356816,High,Moderate,Medium,Neutral,3.5816993464052285,14.690721649484535
11,0.0915,0.753,324880,0.748,0.00348,10,0.212,-8.62,1,0.0494,104.322,4.0,0.642,1,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü,0.563244,0.483426,-6.44776,0.068442,78.554466,0.65175,0.6100946937886846,0.19900747179017989,High,Very_Danceable,Medium,Neutral,11.026785714285715,8.086486486486487
12,0.253,0.603,356973,0.434,0.0619,0,0.108,-11.062,1,0.0342,127.681,4.0,0.381,1,Cemalim,Erkin Koray,0.261702,0.229743,-4.800908,0.109802,76.991643,0.3655,0.5008368013436596,0.38233211344922235,Medium,Moderate,Fast,Neutral,0.5437201907790143,1.7086614173228347
13,0.366,0.762,243270,0.476,0.0,0,0.103,-12.686,1,0.114,130.007,4.0,0.367,1,One Night,Lil Yachty,0.362712,0.279654,-6.038536,0.17421599999999998,99.06533400000001,0.3815,0.5723584336412554,0.42250787841821696,Medium,Very_Danceable,Fast,Neutral,114.0,1.2970027247956404
14,0.44,0.662,247288,0.603,0.0,9,0.0972,-8.317,0,0.0793,125.011,4.0,0.351,1,Oh lala,PNL,0.399186,0.23236199999999999,-5.015151,0.26532,82.757282,0.2865,0.57164644956611,0.360427264409881,Medium,Moderate,Fast,Neutral,79.3,1.3673469387755102
15,0.019,0.637,188333,0.832,0.0563,6,0.316,-6.637,1,0.163,99.988,4.0,0.317,1,Char,Crystal Castles,0.529984,0.201929,-5.521984,0.015808,63.692356000000004,0.46749999999999997,0.5910029392553886,0.12668222018908204,High,Moderate,Medium,Sad,2.844677137870855,41.599999999999994
16,0.0239,0.603,270827,0.955,0.0451,1,0.119,-4.111,1,0.0458,123.922,4.0,0.773,1,World In Motion,New Order,0.575865,0.466119,-3.9260049999999995,0.0228245,74.724966,0.6760499999999999,0.6671961525302478,0.061636992985666376,High,Moderate,Fast,Happy,0.9934924078091106,38.35341365461847
17,0.233,0.789,447907,0.659,0.00049,4,0.184,-12.654,0,0.0429,122.415,4.0,0.842,1,One Nation Under a Groove,Funkadelic,0.519951,0.664338,-8.338986,0.15354700000000002,96.585435,0.699,0.6275999502348294,0.3168492426552811,Medium,Very_Danceable,Fast,Happy,28.79194630872483,2.816239316239316
18,0.314,0.713,195429,0.611,0.0,1,0.117,-6.702,0,0.241,140.061,4.0,0.783,1,Bouncin,Chief Keef,0.43564299999999995,0.558279,-4.0949219999999995,0.191854,99.863493,0.591,0.6205695934807626,0.29934299074921217,Medium,Very_Danceable,Very_Fast,Happy,241.0,1.9396825396825397
19,0.0242,0.735,214347,0.759,0.185,1,0.0966,-6.914,0,0.0449,109.982,4.0,0.763,1,C O O L - Radio Edit,Le Youth,0.5578649999999999,0.560805,-5.247726,0.0183678,80.83677,0.7369,0.618764128642966,0.15556478601199553,High,Very_Danceable,Medium,Happy,0.24139784946236562,30.11904761904762
20,0.000702,0.854,249253,0.719,0.308,10,0.428,-9.335,0,0.0655,128.049,4.0,0.471,1,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,0.614026,0.402234,-6.711865,0.000504738,109.353846,0.662149,0.6802188423377188,0.18567661461827792,High,Very_Danceable,Fast,Neutral,0.21197411003236247,422.4441833137485
21,0.00024,0.747,307680,0.74,0.369,1,0.0995,-4.134,1,0.0323,130.031,4.0,0.77,1,House of Jealous Lovers,The Rapture,0.5527799999999999,0.57519,-3.0591600000000003,0.0001776,97.133157,0.7583799999999999,0.655405088488694,0.12565080410694318,High,Very_Danceable,Fast,Happy,0.08729729729729731,596.7741935483871
22,0.118,0.854,287086,0.401,0.0,9,0.527,-8.553,1,0.395,139.922,4.0,0.441,1,Imma Ride,Young Thug,0.34245400000000004,0.376614,-3.4297530000000007,0.047318,119.493388,0.5885,0.5972993841560138,0.3228263698281996,Medium,Very_Danceable,Fast,Neutral,395.0,3.3697478991596643
23,0.000596,0.224,132760,0.925,1.35e-06,11,0.0663,-1.71,0,0.0834,138.022,4.0,0.364,1,Girlfriend,Ty Segall,0.20720000000000002,0.081536,-1.58175,0.0005513,30.916928,0.29370199999999996,0.5582725420671207,0.03946114506455218,High,Not_Danceable,Fast,Neutral,83.28756179158137,579.5739348370928
24,0.279,0.512,203400,0.564,1.54e-05,10,0.133,-5.892,1,0.0316,94.498,4.0,0.401,1,If I Gave You My Love,Myron & E,0.28876799999999997,0.20531200000000002,-3.323088,0.157356,48.382976000000006,0.317,0.44933064290379776,0.29510877299989835,Medium,Moderate,Medium,Neutral,31.12074059483947,2.014285714285714
25,0.00219,0.781,205160,0.795,0.269,7,0.0673,-6.758,1,0.036,109.977,4.0,0.795,1,This Ready Flesh,TR/ST,0.6208950000000001,0.6208950000000001,-5.37261,0.0017410500000000003,85.892037,0.7869050000000001,0.6460877422164163,0.13464227000101656,High,Very_Danceable,Medium,Happy,0.1333333333333333,249.21630094043888
26,0.341,0.411,199500,0.684,1.42e-06,11,0.198,-6.889,0,0.383,110.016,4.0,0.598,1,Lose My Mind,A-Trak,0.281124,0.24577799999999997,-4.712076000000001,0.23324400000000003,45.216575999999996,0.33399999999999996,0.48583022301017076,0.2859106434888686,Medium,Moderate,Medium,Neutral,382.4569111861157,2.0
27,0.018,0.646,188333,0.837,0.0403,6,0.316,-6.615,1,0.134,100.04,4.0,0.32,1,Char,Crystal Castles,0.540702,0.20672000000000001,-5.536755,0.015065999999999998,64.62584000000001,0.474,0.5957706914248391,0.1244585747687303,High,Moderate,Medium,Sad,3.2445520581113803,44.05263157894737
28,0.0516,0.782,228562,0.572,0.0,4,0.33,-7.467,0,0.0385,120.021,4.0,0.237,1,Look Alive,Rae Sremmurd,0.447304,0.185334,-4.2711239999999995,0.0295152,93.85642200000001,0.4837000000000001,0.5916127958694909,0.23265308529023074,Medium,Very_Danceable,Fast,Sad,38.5,10.874524714828896
29,0.282,0.735,186096,0.4,0.125,1,0.0811,-12.766,1,0.102,129.004,4.0,0.326,1,Please Stop Making Fake Versace,Father,0.294,0.23961000000000002,-5.106400000000001,0.1128,94.81794,0.38949999999999996,0.5360753164753818,0.42065446782555654,Medium,Very_Danceable,Fast,Sad,0.8095238095238094,1.413427561837456
30,0.00791,0.45,220934,0.449,0.0,2,0.173,-12.037,1,0.156,135.45,4.0,0.137,1,Milly Rock,2milly,0.20205,0.06165,-5.404613,0.0035515900000000003,60.95249999999999,0.289545,0.4699393642499456,0.30554700518450745,Medium,Moderate,Fast,Sad,156.0,50.39281705948372
31,0.0219,0.897,285240,0.642,1.31e-06,2,0.159,-8.828,1,0.0534,127.984,4.0,0.27,1,Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign,0.575874,0.24219000000000002,-5.6675759999999995,0.014059799999999999,114.801648,0.57255,0.6687591521259059,0.21325527091592958,Medium,Very_Danceable,Fast,Sad,53.330137519848996,28.034934497816593
32,0.0358,0.959,213000,0.598,0.0,8,0.358,-5.534,1,0.0713,127.029,4.0,0.424,1,Best Friend,Young Thug,0.5734819999999999,0.406616,-3.309332,0.021408399999999998,121.82081099999999,0.6736,0.672902677988243,0.1990694520687201,Medium,Very_Danceable,Fast,Neutral,71.3,16.25
33,0.0324,0.742,280831,0.559,0.0,5,0.0987,-5.876,1,0.141,146.923,4.0,0.429,1,Hercules,Young Thug,0.41477800000000004,0.318318,-3.2846840000000004,0.018111600000000002,109.01686600000001,0.5693,0.6262423252775964,0.2144127884517637,Medium,Very_Danceable,Very_Fast,Neutral,140.99999999999997,16.736526946107787
34,0.118,0.805,232880,0.687,0.0,9,0.0842,-7.771,1,0.0458,119.999,4.0,0.683,1,Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold,0.553035,0.549815,-5.338677000000001,0.081066,96.59919500000001,0.685,0.6375700289260054,0.2195434583714547,Medium,Very_Danceable,Medium,Happy,45.8,5.77310924369748
35,0.0428,0.667,230693,0.581,0.0,0,0.183,-5.164,0,0.323,110.953,4.0,0.372,1,Check,Young Thug,0.387527,0.248124,-3.0002839999999997,0.024866799999999998,74.005651,0.4981000000000001,0.5386517060122546,0.20330814272644102,Medium,Moderate,Medium,Neutral,323.0,13.2648401826484
36,0.297,0.722,175613,0.823,0.0,7,0.489,-3.916,1,0.081,148.23,4.0,0.855,1,Poppin' My Collar,Three 6 Mafia,0.5942059999999999,0.6173099999999999,-3.2228679999999996,0.24443099999999998,107.02205999999998,0.64,0.7101164038443594,0.19468801463860932,High,Very_Danceable,Very_Fast,Happy,81.0,2.761744966442953
37,0.0565,0.853,205879,0.547,0.0,1,0.341,-7.535,1,0.194,142.065,4.0,0.677,1,Jumpman,Drake,0.46659100000000003,0.577481,-4.121645,0.030905500000000002,121.181445,0.73675,0.6497986065752231,0.24331101961980275,Medium,Very_Danceable,Very_Fast,Happy,194.0,9.51304347826087
38,0.0128,0.747,213507,0.705,0.0,9,0.126,-5.137,0,0.126,136.024,4.0,0.571,1,7/11,Beyoncé,0.526635,0.42653699999999994,-3.6215849999999996,0.009024,101.609928,0.6526000000000001,0.6553885260178532,0.15170033546813053,High,Very_Danceable,Fast,Neutral,126.0,51.086956521739125
39,0.135,0.777,237187,0.591,5.5e-05,1,0.126,-7.431,0,0.0327,124.111,4.0,0.848,1,Somebody's Watching Me,Rockwell,0.459207,0.658896,-4.3917209999999995,0.079785,96.434247,0.745,0.6042302261204939,0.2537537867235946,Medium,Very_Danceable,Fast,Happy,30.99526066350711,4.345588235294117
40,0.00041,0.731,324541,0.852,0.625,11,0.358,-6.08,1,0.0476,125.008,4.0,0.622,1,Bang That,Disclosure,0.6228119999999999,0.454682,-5.18016,0.00034931999999999997,91.380848,0.676295,0.6776406177101801,0.1081565914404798,High,Very_Danceable,Fast,Neutral,0.07603833865814696,604.2553191489361
41,0.00356,0.76,186122,0.402,0.0,8,0.333,-8.751,1,0.164,147.028,4.0,0.069,1,I Don't Sell Molly No More,ILoveMakonnen,0.30552,0.05244000000000001,-3.517902,0.00143112,111.74127999999999,0.41272,0.5801131069018071,0.28635917861136523,Medium,Very_Danceable,Very_Fast,Sad,164.0,88.15789473684211
42,0.00156,0.624,183000,0.792,1.54e-06,10,0.0772,-5.33,0,0.0473,139.94,4.0,0.318,1,Versace Python,Riff Raff,0.49420800000000004,0.198432,-4.221360000000001,0.00123552,87.32256,0.47021999999999997,0.6510010419582595,0.12091564908000403,High,Moderate,Fast,Sad,47.22727000419354,309.37500000000006
43,0.00243,0.621,378893,0.683,0.00856,11,0.525,-5.619,0,0.242,124.283,5.0,0.0891,1,Monster,Kanye West,0.42414300000000005,0.0553311,-3.837777,0.0016596900000000001,77.179743,0.35383499999999996,0.5832312525271376,0.16047686998068514,Medium,Moderate,Fast,Sad,25.313807531380753,199.1253644314869
44,0.533,0.64,234526,0.819,0.0,7,0.156,-4.108,1,0.455,166.012,4.0,0.624,1,OOOUUU,Young M.A.,0.52416,0.39936,-3.3644519999999996,0.436527,106.24768,0.3655,0.7160170912257784,0.2766398292162245,High,Moderate,Very_Fast,Neutral,455.0,1.5337078651685392
45,0.00631,0.715,213093,0.833,0.0,2,0.164,-5.379,1,0.108,95.487,4.0,0.607,1,Return Of The Mack - C & J Street Mix,Mark Morrison,0.595595,0.434005,-4.480707,0.00525623,68.27320499999999,0.657845,0.6085865447419987,0.10933043509199958,High,Very_Danceable,Medium,Neutral,108.0,113.95348837209302
46,0.00182,0.7,386160,0.756,0.711,2,0.0575,-10.714,1,0.0575,114.28,4.0,0.947,1,Fantastic Man,William Onyeabor,0.5292,0.6628999999999999,-8.099784,0.00137592,79.996,0.8225899999999999,0.6144525675717707,0.18773444952729487,High,Moderate,Medium,Happy,0.08075842696629214,268.0851063829787
47,0.0923,0.789,175240,0.494,0.000408,1,0.144,-13.702,1,0.0456,104.593,4.0,0.832,1,Right Place Wrong Time,Dr. John,0.389766,0.656448,-6.768788,0.045596199999999996,82.52387700000001,0.76435,0.5379548381076794,0.3356028972247636,Medium,Very_Danceable,Medium,Happy,32.38636363636364,5.294748124330118
48,0.375,0.796,252547,0.86,0.00457,5,0.0745,-6.202,0,0.0653,129.008,3.0,0.973,1,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,0.6845600000000001,0.774508,-5.33372,0.3225,102.690368,0.6970000000000001,0.709749758949955,0.23159347362000607,High,Very_Danceable,Fast,Happy,11.723518850987432,2.2872340425531914
49,0.183,0.716,576888,0.957,0.058,3,0.182,-4.814,1,0.0689,106.714,4.0,0.93,1,Odofo Nyi Akyiri Biara,Ebo Taylor,0.6852119999999999,0.66588,-4.606998,0.17513099999999998,76.407224,0.7314999999999999,0.6720779602500699,0.1211501474026634,High,Very_Danceable,Medium,Happy,1.1677966101694914,5.201086956521739
